,,,,
,,,,
,,,,
,,,,
    Hooked On Driving - AMP Feb 21-22 - SATURDAY,,,,
Activity,Time,WHO,Where / Notes,Track Map and Passing Rules
,,,,"P&P - Passing in GREEN
OUT/B-Group - Passing in Orange AND BLUE
Group C/D - Anywhere with a point-by

Use your best judgement to be safe
Remember: BE PREDICTABLE, NOT POLITE"
Gate Opens,7:00 AM,ALL,,
Staff Meeting,7:00 AM,All Staff (Coaches Optional),Eau Rouge Classroom,
Check-In / Coffee,7:30 AM,ALL DRIVERS - MANDATORY,Outside Classroom,
Coach Meeting,7:40 AM,Coaches (Instructors) - Mandatory,HOD Trailer,
Mandatory All Drivers Meeting,8:00 AM,ALL DRIVERS - MANDATORY,Eau Rouge Classroom,
Group Breakout Meetings,8:25 AM,Follow Group Lead,Follow Group Lead,
Coach-Student Meets,8:40 AM,Novices + Coaches,Novices + Coaches,
Novice Classroom Session #1,9:05 AM,Novices (PLEASE BE ON TIME),Eau Rouge Classroom,
AM ON-TRACK,9:00 AM,C/D,Full Course Yellow - First 2 Laps,
,9:15 AM,B,Full Course Yellow - First 2 Laps,
,9:30 AM,OUT Motorsports,Full Course Yellow - First 2 Laps,
,9:45 AM,P&P,Full Course Yellow - First 2 Laps,
,10:00 AM,B,,
Novice Classroom Session #2,10:05 AM,Novices (PLEASE BE ON TIME),Eau Rouge Classroom,
AM ON-TRACK,10:15 AM,C/D,,
,10:30 AM,OUT Motorsports,,
,10:50 AM,P&P,,
,11:15 AM,B,,
,11:30 AM,C/D,,THANKS TO OUR SPONSORS:
,11:45 AM,OUT Motorsports,,
LUNCH,12-Noon,LUNCH,Eau Rouge,
PM ON-TRACK,1:00 PM,P&P,,
,1:20 PM,B,,
,1:35 PM,C/D,,
,1:50 PM,OUT Motorsports,,
,2:10 PM,P&P,,
,2:40 PM,B,,REGISTER FOR UPCOMING HOD-MID-A EVENTS
,2:55 PM,C/D,,July 4-5 NCCAR
,3:10 PM,OUT Motorsports,,July 18-19 Roebling Road Raceway (RRR)
,3:30 PM,P&P,,Aug 1-2 Carolina Motorsports Park (CMP)
HAPPY HOUR,4:00 PM,B/C/D Drivers - C Group Pass Rules,,Sept 4-5 NCCAR - Racing For Parkinson's Charity Weekend + MSF Level 2 Course/Open Track Friday
Track Cold - Event End for day - 5:00PM,,,,
Happy Hour,5-7PM,P&P + OUT Motorsports,Sky Deck,Nov 14-15 Carolina Motorsports Park (CMP)
BBQ Dinner,6:00 PM,ALL,Paddock,Nov 28-29 Virginia International Raceway - Friendsgiving at Heaven On Earth!
"* Please note session times can change based on unexpected delays (such as weather, towing cars, etc)",,,,
,,,,
* Please return any rental helmets at end of day!,,,,
