,,,,
,,,,
,,,,
    Hooked On Driving - AMP Feb 21-22 - SUNDAY,,,,
Activity,Time,WHO,Where / Notes,Track Map and Passing Rules
,,,,"P&P - Passing in GREEN
OUT/B-Group - Passing in Orange AND BLUE
Group C/D - Anywhere with a point-by

Use your best judgement to be safe
Remember: BE PREDICTABLE, NOT POLITE"
Gate Opens,7:00 AM,ALL,,
Staff Meeting,7:00 AM,All Staff (Coaches Optional),Eau Rouge Classroom,
Check-in / Coffee,7:30 AM,ALL DRIVERS - MANDATORY,Outside Classroom,
Coach Meeting,7:40 AM,Coaches (Instructors) - Mandatory,HOD Trailer,
Mandatory All Drivers Meeting,8:00 AM,ALL DRIVERS - MANDATORY,Eau Rouge Classroom,
Group Breakout Meetings,8:25 AM,Follow Group Lead,Follow Group Lead,
Coach-Student Meets,8:40 AM,Novices + Coaches,Novices + Coaches,
Novice Classroom Session #1,9:10 AM,Novices (PLEASE BE ON TIME),Eau Rouge Classroom,
AM ON-TRACK,9:00 AM,C/D,,
,9:20 AM,B,,
,9:40 AM,OUT Motorsports,,
,10:00 AM,P&P,Full Course Yellow - First 2 Laps,
,10:30 AM,B,,
Novice Classroom Session #2,10:10 AM,Novices (PLEASE BE ON TIME),Eau Rouge Classroom,
AM ON-TRACK,10:50 AM,C/D,,
,11:10 AM,OUT Motorsports,,
,11:30 AM,P&P,,
LUNCH,12-Noon,LUNCH,Eau Rouge,
PM ON-TRACK,1:00 PM,OUT Motorsports,,
,1:20 PM,P&P,,
,1:50 PM,B,,THANKS TO OUR SPONSORS:
,2:15 PM,C/D,,
,2:40 PM,OUT Motorsports,,
,3:00 PM,P&P,,
PARTY MODE,3:30 PM,"B/C/D Drivers 
C-Group Passing Rules",,
,,,,
,,,,
Track Cold - Event End for day - 5:00PM,,,,
,,,,REGISTER FOR UPCOMING HOD-MID-A EVENTS
,,,,July 4-5 NCCAR
"* Please note session times can change based on unexpected delays (such as weather, towing cars, etc)",,,,July 18-19 Roebling Road Raceway (RRR)
,,,,Aug 1-2 Carolina Motorsports Park (CMP)
* Please return any rental helmets at end of day!,,,,Sept 4-5 NCCAR - Racing For Parkinson's Charity Weekend + MSF Level 2 Course/Open Track Friday
,,,,
,,,,Nov 14-15 Carolina Motorsports Park (CMP)
,,,,Nov 28-29 Virginia International Raceway - Friendsgiving at Heaven On Earth!
