,,,,
,,,,
,,,,
,,,,
    Hooked On Driving - Summer of Speed w/ TT @ CMP Sat Aug 1,,,,
Activity,Time,WHO,WHERE,Track Map and Passing Rules
,,,,"Group A - Passing in GREEN
Group B - Passing in Green AND BLUE
Group C - Anywhere with a point-by
Group D - Anywhere, point-by preferred but not required

Use your best judgement to be safe
Remember: BE PREDICTABLE, NOT POLITE"
GATE OPENS,7:00 AM,ALL,,
Registration/Tech,7:00 AM - 10 AM,ALL,,
Staff Meeting,6:30-6:45 AM,Staff,,
Coaches Meeting,6:45-7 AM,ALL COACHES - MANDATORY,,
DATA CLASS - Meet + Greet,7:00-7:10 AM,Data Class Students,See email for location,
ALL DRIVER'S MEETING,7:10-7:30 AM,ALL DRIVERS MANDATORY,,
Run Group and TT Breakout Meetings,7:30-7:45 AM,"Groups A, B, C/D",,
Coach + Student Intros,7:45-7:50 AM,Coaches and A-Novice Group,,
A-NOVICE CLASS #1,8:00 AM,A-NOVICE Group,,
ON TRACK - AM,8:00 AM,C (TT Practice #1),Full Course Yellow - First 2 Laps,
,8:15 AM,D (TT Practice #1),Full Course Yellow - First 2 Laps,
,8:30 AM,B,Full Course Yellow - First 2 Laps,
,8:45 AM,A,Full Course Yellow - First 2 Laps,
A-NOVICE CLASS #2,9:10-9:50 AM,A-NOVICE Group,,
ON TRACK - AM,9:00 AM,C (TT Practice #2),,
,9:20 AM,D (TT Practice #2),,
,9:40 AM,B,,
,10:00 AM,A,,THANKS TO OUR SPONSORS:
,10:20 AM,C (TT Practice #3),,
,10:40 AM,D (TT Practice #3),,Spicy Cat Racing and Racing for Parkinson's
,11:00 AM,B,,
,11:20 AM,A,,
,11:45 AM,TT Official Session #1,,
Lunch,12:00-1:00 PM,GRILL IS OPEN,,
Parade Laps for R4P,12:20-12:40,"Sign up at Reg, Then Meet at Grid-Out",,
DATA CLASS Session #1,12:00-1:00 PM,Lunch Included with Class,,
ON TRACK - PM,1:00 PM,D,,
,1:15 PM,C,,
,1:30 PM,A,,
,1:50 PM,B,,LINK TO REGISTER FOR PHOTOS HERE - ROGO PHOTO
,2:05 PM,TT Official Session #2,,Join Us for More 2026 Events!
,2:20 PM,D,,
,2:40 PM,C,,
,3:00 PM,A,,Sept 11-13 Racing for Parkinson's Weekend!
,3:25 PM,B,,Sep 11 Open Track + MSF Lvl 2 Class - NCCAR
,3:45 PM,TT Official Session #3,,Sep 12-13 Bill's Race Charity Track Day NCCAR
,4:00 PM,HAPPY HOUR - B/C/D,C-Group Passing Rules,Oct 17-18 OktoberFAST NCCAR w/ TT
Track Cold - Event End for day - 5:00PM,,,,Nov 14-15 Fall Festival at CMP w/ TT
DATA CLASS Session #2,5-5:45PM,Dinner afterward,,Nov 28-29 Friendsgiving at VIR!
BBQ Dinner and Drinks,5:45 PM,All invited! FREE for Drivers!,,
"* Please note session times can change based on unexpected delays (such as weather, towing cars, etc)",,,,
,,,,
* Please return any rental helmets at end of day!,,,,
