,,,,
,,,,
,,,,
,,,,
    Hooked On Driving - Summer of Speed w/ TT @ CMP Sun Aug 2,,,,
Activity,Time,WHO,WHERE,Track Map and Passing Rules
,,,,"Group A - Passing in GREEN
Group B - Passing in Green AND BLUE
Group C - Anywhere with a point-by
Group D - Anywhere, point-by preferred but not required

Use your best judgement to be safe
Remember: BE PREDICTABLE, NOT POLITE"
GATE OPENS,7:00 AM,ALL,,
Registration/Tech,7:00 AM - 10 AM,ALL,,
Staff Meeting,6:30-6:45 AM,Staff,,
Coaches Meeting,6:45-7 AM,ALL COACHES - MANDATORY,,
DATA CLASS - Updates,7:00-7:10 AM,Data Class Students,See email for location,
ALL DRIVER'S MEETING,7:10-7:30 AM,ALL DRIVERS MANDATORY,,
Run Group and TT Breakout Meetings,7:30-7:45 AM,"Groups A, B, C/D",,
Coach + Student Intros,7:45-7:50 AM,Coaches and A-Novice Group,,
A-NOVICE CLASS #1,8:00 AM,A-NOVICE Group,,
ON TRACK - AM,8:00 AM,C (TT Practice #1),,
,8:20 AM,D (TT Practice #1),,
,8:40 AM,TT Official Session #1,,
,8:55 AM,B,,
,9:15 AM,A,,
A-NOVICE CLASS #2,9:40 AM,A-NOVICE Group,,
ON TRACK - AM,9:30 AM,C (TT Practice #2),,
,9:50 AM,D (TT Practice #2),,
,10:10 AM,TT Official Session #2,,THANKS TO OUR SPONSORS:
,10:25 AM,B,,
,10:45 AM,A,,Spicy Cat Racing and Racing for Parkinson's
Lunch + Quiet Hour,11:00-12:00 PM,GRILL IS OPEN,,
Parade Laps for R4P (muffled cars only),11:20-11:40 AM,"Sign up at Reg, Then Meet at Grid-Out",,
Data Class - Final Session,11:00-12:00 PM,Lunch Included with Class,,
ON TRACK - PM,12:00 PM,A,,
,12:25 PM,TT Official Session #3,,
,12:40 PM,C,,
,1:05 PM,D,,
,1:30 PM,B,,
,1:55 PM,A,,
,2:20 PM,C,,LINK TO REGISTER FOR PHOTOS HERE - ROGO PHOTO
,2:45 PM,D,,Join Us for More 2026 Events!
,3:10 PM,B,,
,3:35 PM,A,,
,4:00 PM,Happy Hour - B/C/D,C-Group Passing Rules,Sept 11-13 Racing for Parkinson's Weekend!
,,,,Sep 11 Open Track + MSF Lvl 2 Class - NCCAR
,,,,Sep 12-13 Bill's Race Charity Track Day NCCAR
"Track Cold - Event End - 5:00PM
GET HOME SAME - COME SEE US AGAIN SOON!",,,,Oct 17-18 OktoberFAST NCCAR w/ TT
,,,,Nov 14-15 Fall Festival at CMP w/ TT
"* Please note session times can change based on unexpected delays (such as weather, towing cars, etc)",,,,Nov 28-29 Friendsgiving at VIR!
,,,,
* Please return any rental helmets at end of day!,,,,
