,,,,
,,,,
,,,,
,,,,
    Hooked On Driving - CMP 8/2-3,,,,
Activity,Start Time,WHO,WHERE,Track Map and Passing Rules
,,,,"Group A - Passing in Orange
Group B - Passing in Orange AND BLUE
Group C - Anywhere with a point-by
Group D - Anywhere, point-by preferred but not required

Use your best judgement to be safe
Remember: BE PREDICTABLE, NOT POLITE"
GATE OPENS,7:00 AM,ALL,,
Registration/Tech,7:00-10:00 AM,ALL,Garage 12+24,
Coaches Meeting,7:05-7:15 AM,ALL COACHES - MANDATORY,HOD Trailer,
ALL DRIVER'S MEETING,7:15-7:40 AM,ALL DRIVERS MANDATORY,Garage 12+24,
"Group A, B, C/D Breakout Meetings",7:40-7:50 AM,"Groups A, B, C/D",Follow Group Leads,
Coach + Student Intros,7:50-7:55 AM,Group A and Coaches,Group A Meeting area,
ON TRACK - AM,8:10-8:40 AM,Group A Classroom,Timing Building 2nd Floor,
,8:00,D,Full Course Yellow - First 2 Laps,
,8:20,C,Full Course Yellow - First 2 Laps,
,8:40,B,Full Course Yellow - First 2 Laps,
,9:00,A,Full Course Yellow - First 2 Laps,
,9:30-10:05 AM,Group A Classroom,Timing Building 2nd Floor,
,9:20,D,,
,9:40,C,,THANKS TO OUR SPONSORS:
,10:00,B,,
,10:20,A,,
,10:50-11:25 AM,Group A Classroom,Timing Building 2nd Floor,
,10:40,D,,
,11:00,C,,
,11:20,B,,
,11:40,A,,
Lunch,12-1 PM,Bring your own / CMP Grill is open,,
ON TRACK - PM,1:00,D,,
,1:20,C,,
,1:40,B,,
,2:00,A,,REGISTER FOR UPCOMING HOD-MID-A EVENTS
,2:30,D,,
,2:50,C,,AUG 9-10 - ROAD ATLANTA
,3:10,B,,"SEPT 5-7 - NCCAR; MSF Level 2 + Open Track Friday, Racing for Parkinson's Charity Weekend Sat and Sun"
,3:30,A,,
,4:00-5:00,HH,"B+C+D
Use C Pass Rules",Nov 29-30 Virginia International Raceway
Track Cold - Event End for day - 5:00PM,,,,
Dinner Buffet,6:00 PM,All invited,Garage 12+24,
"* Please note session times can change based on unexpected delays (such as weather, towing cars, etc)",,,,
,,,,
* Please return any rental helmets at end of day!,,,,
