,,,,
,,,,
,,,,
,,,,
    Hooked On Driving - Road Atlanta 8/9-10,,,,
Activity,Time,WHO,WHERE,Track Map and Passing Rules
,,,,"Group A - Passing in Orange
Group B - Passing in Orange AND BLUE
Group C - Anywhere with a point-by
Group D - Anywhere, point-by preferred but not required

Use your best judgement to be safe
Remember: BE PREDICTABLE, NOT POLITE"
GATE OPENS,7:00 AM,ALL,,
Registration/Tech,7:15-10:00 AM,ALL,Tech Shed,
Coaches Meeting,7:05-7:20 AM,ALL COACHES - MANDATORY,Tech Shed,
ALL DRIVER'S MEETING,7:20-7:40 AM,ALL DRIVERS MANDATORY,Hospitality Chalet,
"Group A, B, C/D Breakout Meetings",7:40-7:50 AM,"Groups A, B, C/D",Follow Group Leads,
Coach + Student Intros,7:50-7:55 AM,Group A and Coaches,Group A Meeting area,
ON TRACK - AM,8:05-8:35 AM,Group A Classroom,Photo Classroom,
,8:00,D,,
,8:15,C,,
,8:30,B,,
,8:45,A,Full Course Yellow - First 2 Laps,
,9:10-10:10,Group A Classroom,Photo Classroom,
,9:15,D,,
,9:30,C,,THANKS TO OUR SPONSORS:
,9:45,B,,
Shush Sessions (Stock Exhaust only),10:00,C/D Shush session,Shush Session,
,10:20,A/B Shush Session,Shush Session,
,10:40,Charity Parade Laps,Shush Session,
Lunch / Quiet Hour,11:00 AM-12:00 PM,Bring your own / RA Grill is open,,
ON TRACK - PM,12:00,A,,
,12:30,D,,
,12:50,C,,
,1:10,B,,
,1:30,A,,
,2:00,D,,
,2:20,C,,
,2:40,B,,REGISTER FOR UPCOMING HOD-MID-A EVENTS
,3:00,A,,"SEPT 5-7 - NCCAR; MSF Level 2 + Open Track Friday, Racing for Parkinson's Charity Weekend Sat and Sun"
,3:30-5:00 PM,"PARTY MODE
B+C+D (C pass rules)","B+C+D
Use C Pass Rules",
Track Cold - Event End for day - 5:00PM,,,,Nov 29-30 Virginia International Raceway
,,,,
"* Please note session times can change based on unexpected delays (such as weather, towing cars, etc)",,,,
,,,,
* Please return any rental helmets at end of day!,,,,
