Hooked On Driving - NCCAR,,,,,
,Activity,Time,WHO,WHERE,Track Map and Passing Rules
,,,,,"Group A - Passing in Orange
Group B - Passing in Orange AND BLUE
Group C - Anywhere with a point-by
Group D - Anywhere, point-by preferred but not required

Use your best judgement to be safe
Remember: BE PREDICTABLE, NOT POLITE"
,GATE OPENS,7:00 AM,ALL,,
,Registration/Tech,7:15 - 10 AM,ALL,Ops Building,
,Coaches Meeting,7:30 - 7:45 AM,ALL COACHES - MANDATORY,HOD Trailer,
,ALL DRIVER'S MEETING,7:45 - 8:05 AM,ALL DRIVERS MANDATORY,Ops Building,
,"Group A, B, C/D Breakout Meetings",8:05 - 8:20 AM,"Groups A, B, C/D",Follow Group Leads,
,Coach + Student Intros,8:20 - 8:25 AM,Group A and Coaches,Group A Meeting area,
,ON TRACK - AM,8:35 - 9:10,Group A Classroom,Ops Building,
,,8:30,C/D,Full Course Yellow - First 2 Laps,
,,8:55,B,Full Course Yellow - First 2 Laps,
,,9:20,A,Full Course Yellow - First 2 Laps,
,,9:50,C/D,,
,,10 - 10:30,Group A Classroom,Ops Building,
,,10:15,B,,
,,10:40,A1,,
,,11:10,C/D,,
,,11:20 - 12,Group A Classroom,Ops Building,
,,11:35,B,,
,Lunch,12-1 PM,Bring Your Own,,
,ON TRACK - PM,1:00,,,
,,1:30,,,
,,1:55,,,
,,2:20,,,
,,2:50,A,,
,,3:20,B,,
,,3:40,A,,
,,4:10 - 5,Happy Hour,"B+C+D
Use C Pass Rules",
,Track Cold - Event End for day - 5:00PM,,,,
,Dinner Buffet,6:00 PM,All invited,HOD Trailer,
,"* Please note session times can change based on unexpected delays (such as weather, towing cars, etc)",,,,
,,,,,
,* Please return any rental helmets at end of day!,,,,
