Hooked On Driving - NCCAR,,,,,
,Activity,Time,WHO,WHERE,Track Map and Passing Rules
,,,,,"Group A - Passing in Orange
Group B - Passing in Orange AND BLUE
Group C - Anywhere with a point-by
Group D - Anywhere, point-by preferred but not required

Use your best judgement to be safe
Remember: BE PREDICTABLE, NOT POLITE"
,GATE OPENS,7:00 AM,ALL,,
,Registration/Tech,7:15 - 10 AM,ALL,Ops Building,
,,,,,
,,,,,
,,,,,
,,,,,
,ON TRACK - AM,8:30,C/D,,
,,8:55,B,,
,,9:20,A1,,
,,9:50,C/D,,
,,10:15,B,,
,,10:40,A1,,
,,11:10,C/D,,
,,11:35,B,,
,Lunch,12-1 PM,Bring Your Own,,
,ON TRACK - PM,1:00,A,,
,,1:30,C/D,,
,,1:45,B,,
,,2:00,A,,
,,2:30,C/D,,
,,2:45,B,,
,,3:00,A,,
,,3:30-5,Party Mode,"B+C+D
Use C Pass Rules",
,Track Cold - Event End for day - 5:00PM,,,,
,"* Please note session times can change based on unexpected delays (such as weather, towing cars, etc)",,,,
,,,,,
,* Please return any rental helmets at end of day!,,,,
