EVENT,TIME,WHO,Location / Notes,
GATE OPENS,7:00 AM,ALL,,Track Map and Passing Rules
Registration,7-10 AM,ALL,Garage A/B,"Group A - Passing in Orange
Group B - Passing in Orange AND BLUE
Group C - Anywhere with a point-by
Group D - Anywhere, point-by preferred but not required

Use your best judgement to be safe
Remember: BE PREDICTABLE, NOT POLITE"
Coaches and Staff Meeting,710-730 AM,ALL COACHES - MANDATORY,Garage A/B,
ALL DRIVER'S MEETING,730-745 AM,ALL DRIVERS MANDATORY,Garage A/B,
"Group A, B, C Breakout Meetings",745-8 AM,"Groups A, B, C",Follow Group Leads,
Coach + Student Intros / Flex Time,8-815 AM,A and B coached Drivers,Group A and B areas,
,815-845 AM,A-Novice Class,Classroom,
ON TRACK - AM,830-855 AM,C,Double Yellow for first full lap - NO PASSING,
,855-925 AM,A,Double Yellow for first full lap - NO PASSING,
,925-950 AM,D,Double Yellow for first 2 laps - NO PASSING,
,955-1025 AM,A-Novice Class,Classroom,
,950-1015 AM,B,Double Yellow for first 2 laps - NO PASSING,
,1015-1040 AM,C,,
,1040-1110 AM,A,,
,1110-1135 AM,D,,
,1135 AM-12 PM,B,,
Lunch,12-1 PM,All,,
ON TRACK - PM,130-2 PM,A-Novice Class,Classroom,
,1-125 PM,D,,
,125-150 PM,B,,
,150-215 PM,C,,
,215-245 PM,A,,
,245-310 PM,D,,
,310-335 PM,B,,
,335-4 PM,C,,
,4-430 PM,A,,
,430-530 PM,"Happy Hour (B, C, D)",,
Dinner Buffet,6:00-7:30,Garage A/B,All invited,
"* Please note session times can change based on unexpected delays (such as weather, towing cars, etc)",,,,
