,,,,
,,,,
,,,,
,,,,
    Hooked On Driving - VIR - November 29-30,,,,
Activity,Time,WHO,WHERE,Track Map and Passing Rules
Check-In/Reg/Tech,8-10 AM,ALL,Tech Shed,"Group A - Passing in Orange
Group B - Passing in Orange AND BLUE
Group C - Anywhere with a point-by
Group D - Anywhere, point-by preferred but not required

Use your best judgement to be safe
Remember: BE PREDICTABLE, NOT POLITE"
Coaches Meeting,8-820 AM,ALL COACHES - MANDATORY,Classrooms,
ALL DRIVER'S MEETING,820-835 AM,ALL DRIVERS MANDATORY,Classrooms,
"Group A, B, C/D Breakout Meetings",835-850 AM,"Groups A, B, C/D",Follow Group Leads,
Coach + Student Intros,850-855 AM,Novices and Coaches,Group A Meeting area,
Novice Class #1,9-930 AM,A-Novice class,Classroom below garages,
ON TRACK - AM,9,C,Full Course Yellow - First 2 Laps,
,915,D,Full Course Yellow - First 2 Laps,
,930,B,Full Course Yellow - First 2 Laps,
,945,A,Full Course Yellow - First 2 Laps,
,1015-1050 AM,A-Novice class,Classroom below garages,
,10,C,,
,1020,D,,
,1040,B,,
,11,A,,
,1115,C,,
,1130,D,,
,1145,B,,
Lunch,12-1,Grill Open,,
ON TRACK - PM,1,A,,
,120,C,,
,135,D,,
,150,B,,
,205,A,,VISIT OUR SPONSORS!                
,230,C,,
,250,D,,
,310,B,,
,330,A,,
,4-5,Happy Hour (D+C+B),C Group Passing Rules,
Track Cold - Event End for day - 5:00PM,,,,
"5:30 PM - BBQ Dinner, Superlative Awards, and Updates for 2026!",,,,
"* Please note session times can change based on unexpected delays (such as weather, towing cars, etc)",,,,
,,,,
* Please return any rental helmets at end of day!,,,,
