,,,,
,,,,
,,,,
,,,,
    Hooked On Driving - VIR - November 29-30,,,,
Activity,Time,WHO,WHERE,Track Map and Passing Rules
,,,,"Group A - Passing in Orange
Group B - Passing in Orange AND BLUE
Group C - Anywhere with a point-by
Group D - Anywhere, point-by preferred but not required

Use your best judgement to be safe
Remember: BE PREDICTABLE, NOT POLITE"
Check-In/Reg/Tech,8-10 AM,ALL,Tech Shed,
Coaches Meeting,8-820 AM,ALL COACHES - MANDATORY,Classrooms,
ALL DRIVER'S MEETING,820-835 AM,ALL DRIVERS MANDATORY,Classrooms,
"Group A, B, C/D Breakout Meetings",835-850 AM,"Groups A, B, C/D",Follow Group Leads,
Coach + Student Intros,850-855 AM,Novices and Coaches,Group A Meeting area,
Novice Class #1,9-935 AM,A-Novice class,Classroom below garages,
ON TRACK - AM,9,C,,
,915,D,,
,930,B,,
,945,A,Full Course Yellow - First 2 Laps,
,10,C,,
,1005-1035,A-Novice class,Classroom below garages,
,1015,D,,
,1030,B,,
,1045,A,,
,11,C,,
,1115,D,,
,1130,B,,
,1145,A,,
Lunch,12-1,Grill Is Open!,,
ON TRACK - PM,1,C,,
,115,D,,
,130,B,,
,145,A,,THANKS TO OUR SPONSORS:
,215,C,,
,230,D,,
,245,B,,
,3,A,,
,330,Party Mode (B+C+D) | C pass rules,,
Track Cold - Event End for day - 5:00PM,,,,
"* Please note session times can change based on unexpected delays (such as weather, towing cars, etc)",,,,
,,,,
* Please return any rental helmets at end of day!,,,,
