Thurs,,6:00PM – 7:30PM Techistration – Tech Pavilion,,,
Friday,,7am-7pm Techistration – Tech Pavilion,,,
7:15 AM,,All Drivers Meeting At Driver Info,,,
7:30 AM,,Instructors Meeting at Garages,,,
7:30 AM,,All Worker's Meeting At NASA Trailer,,,
Start,,Track,Classroom,Toyota,
8:00 AM,25,HPDE,Competition School,Classroom,HPDE = Point By Passing
8:25 AM,25,Test/Tune & Comp School,,,Test & Tune = No Point By Passing
8:50 AM,25,HPDE,Competition School,,
9:15 AM,20,Toyota Drivers,,On Track,
9:35 AM,25,Test/Tune & Comp School,,,Toyota classroom building location outside gate
10:00 AM,25,HPDE,Competition School,,Comp School classroom location top floor of the tower
10:25 AM,25,Test/Tune,,,
10:50 AM,25,HPDE,Competition School,,
11:15 AM,25,Test/Tune & Comp School,,,
11:40 AM,20,Toyota Drivers,,On Track,
12:00 PM,60,Lunch,Competition School,,
1:00 PM,25,HPDE,,Classroom,
1:25 PM,25,Test/Tune & Comp School,,,
1:50 PM,20,Toyota Drivers,Competition School,On Track,
2:10 PM,25,HPDE,,,
2:35 PM,25,Test/Tune,,,
3:00 PM,25,Mock Race #1,,,
3:25 PM,20,Toyota Drivers,Competition School,On Track,
3:45 PM,25,HPDE,,,
4:10 PM,25,Test/Tune,,,
4:35 PM,25,Mock Race #2,,,
7:00AM – 7:00PM Techistration – Tech Pavilion,,,,,
,,,,,
Saturday,,7am-9am Techistration – Tech Pavilion,,,
7:15 AM,,HPDE Meeting At Tech Pavilion,,,
7:30 AM,,Instructors and Time Trial Meeting at Garages,,,ALL RACERS – Meet with your Series Leader
7:30 AM,,All Worker's Meeting At NASA Trailer,,,At 7:30am to get your on-track wristband
Start,,Track,Classroom,,
8:00 AM,20,HPDE 3* & 4,HPDE 1 &,,Classroom building location outside gate
8:20 AM,15,"TT Alpha (TTU/a,1-3)",Toyota Drivers,,
8:35 AM,15,"TT Omega (TTU/b, 4-6)",,,
8:50 AM,20,ALL RACERS WARMUP,,,
9:10 AM,20,HPDE 2,,,
9:30 AM,20,HPDE 1 & Toyota Drivers,,,
9:50 AM,26,Lightning Qualifying,,,
10:16 AM,15,"TT Alpha (TTU/a,1-3)",HPDE 2,,
10:31 AM,18,HPDE 3* & 4,,,
10:49 AM,15,"TT Omega (TTU/b, 4-6)",,,
11:04 AM,18,Thunder Qualifying,,,
11:22 AM,18,HPDE 2,,,
11:40 AM,20,HPDE 3* & 4,HPDE 2,,12:00 All Racers Meeting
12:00 PM,60,Lunch,,,12:15 All TT Drivers Meeting
1:00 PM,20,HPDE 1 & Toyota Drivers,,,
1:20 PM,30,Lightning Race #1,,,
1:50 PM,20,"TT Omega (TTU/b, 4-6)",,,
2:10 PM,20,"TT Alpha (TTU/a,1-3)",HPDE 3,,
2:30 PM,20,HPDE 2,,,*when HPDE 3 & 4 are on track Saturday you
2:50 PM,26,HPDE 1 & Toyota Drivers,,,abide by HPDE 3 rules – Point By REQUIRED
3:16 PM,30,Thunder Race #1,,,
3:46 PM,19,HPDE 3 : Drills #1,HPDE 1 &,,
4:05 PM,20,HPDE 4,Toyota Drivers,,
4:25 PM,20,HPDE 2,,,
4:45 PM,15,HPDE 1 & Toyota Drivers,,,
5:00 PM,,Series Awards, FREE dinner by Kater Time BBQ ,,
,,,,,
Sunday,,,,,
,,7:30am-9am Techistration – Tech Pavilion,,,
7:30 AM,15,ALL WORKERS MEETING,,,
Time,,Track,Classroom,,
8:00 AM,40,HPDE 2,HPDE 1,,
8:40 AM,0,"TT Alpha (TTU/a,1-3)",,,Classroom building location outside gate
8:40 AM,20,HPDE 4* & 3,,,
9:00 AM,20,TT ALL,,,
9:20 AM,30,Thunder Race #2,,,
9:50 AM,26,HPDE 1,,,
10:16 AM,29,Lightning Race #2,HPDE 2,,
10:45 AM,15,"TT Alpha (TTU/a,1-3)",,,
11:00 AM,60,Lunch,,,11:00 All Racers Meeting
12:00 PM,20,HPDE 2,HPDE 3,,11:15 All TT Drivers Meeting
12:20 PM,15,"TT Omega (TTU/b, 4-6)",,,
12:35 PM,20,HPDE 3 Drills,,,
12:55 PM,20,HPDE 1 + 2,,,
1:15 PM,30,Thunder Race #3,,,
1:45 PM,15,"TT Alpha (TTU/a,1-3)",,,*when HPDE 3 & 4 are on track Sunday you abide
2:00 PM,20,HPDE 4,,,by HPDE 4 rules – point by optional
2:20 PM,15,"TT Omega (TTU/b, 4-6)",,,
2:35 PM,30,Lightning Race #3,,,
3:05 PM,20,HPDE 1,,,
3:25 PM,20,HPDE 2,,,
3:45 PM,20,HPDE 4* & 3,,,
4:05 PM,20,HPDE 2,,,
4:25 PM,20,HPDE 1,,,
4:45 PM,15,HPDE 4* & 3 & TT Drivers,,,
